EPC,Ant,Time,Frequency,RSSI,Phase,Time-int,time,
E2801160600002073A4A0519,2,1970/1/5 18:02:17,906250,-57,39,25573.75159,,910750
E2801160600002073A4A0529,2,1970/1/5 18:02:17,906250,-63,19,25573.75159,,910750
E2801160600002073A4A0519,3,1970/1/5 18:02:17,919750,-55,19,25573.75159,,910750
E2801160600002073A4A0529,3,1970/1/5 18:02:17,919750,-66,19,25573.75159,,910750
E2801160600002073A4A0519,1,1970/1/5 18:02:17,919750,-42,45,25573.75159,,916250
E2801160600002073A4A0529,1,1970/1/5 18:02:17,919750,-38,50,25573.75159,,916250
E2801160600002073A4A0519,2,1970/1/5 18:02:17,919750,-55,42,25573.75159,,916250
E2801160600002073A4A0529,2,1970/1/5 18:02:17,919750,-61,36,25573.75159,,916250
E2801160600002073A4A0519,3,1970/1/5 18:02:17,919750,-56,16,25573.75159,,916250
E2801160600002073A4A0529,3,1970/1/5 18:02:17,919750,-66,16,25573.75159,,916250
E2801160600002073A4A0529,1,1970/1/5 18:02:17,919750,-38,45,25573.75159,,916250
E2801160600002073A4A0519,1,1970/1/5 18:02:17,919750,-43,42,25573.75159,,916250
E2801160600002073A4A0519,2,1970/1/5 18:02:17,919750,-54,42,25573.75159,,917250
E2801160600002073A4A0529,2,1970/1/5 18:02:17,919750,-61,25,25573.75159,,917250
E2801160600002073A4A0529,3,1970/1/5 18:02:17,919750,-67,11,25573.75159,,917250
E2801160600002073A4A0519,1,1970/1/5 18:02:17,927250,-43,73,25573.75159,,917250
E2801160600002073A4A0529,1,1970/1/5 18:02:17,927250,-38,78,25573.75159,,917250
E2801160600002073A4A0519,2,1970/1/5 18:02:17,927250,-55,25,25573.75159,,917250
E2801160600002073A4A0529,2,1970/1/5 18:02:17,927250,-60,16,25573.75159,,917250
E2801160600002073A4A0519,3,1970/1/5 18:02:17,927250,-53,8,25573.75159,,917250
E2801160600002073A4A0529,3,1970/1/5 18:02:17,927250,-62,25,25573.75159,,911750
E2801160600002073A4A0519,1,1970/1/5 18:02:17,927250,-43,73,25573.75159,,911750
E2801160600002073A4A0529,1,1970/1/5 18:02:17,927250,-38,75,25573.75159,,911750
E2801160600002073A4A0519,2,1970/1/5 18:02:17,927250,-54,39,25573.75159,,911750
E2801160600002073A4A0529,2,1970/1/5 18:02:17,927250,-60,8,25573.75159,,911750
E2801160600002073A4A0529,3,1970/1/5 18:02:17,927250,-63,19,25573.75159,,911750
E2801160600002073A4A0519,3,1970/1/5 18:02:17,927250,-53,16,25573.75159,,911750
E2801160600002073A4A0519,1,1970/1/5 18:02:17,927250,-43,81,25573.75159,,911750
E2801160600002073A4A0529,1,1970/1/5 18:02:17,927250,-38,81,25573.75159,,919750
E2801160600002073A4A0519,2,1970/1/5 18:02:17,927250,-54,33,25573.75159,,919750
E2801160600002073A4A0529,2,1970/1/5 18:02:17,927250,-60,11,25573.75159,,919750
E2801160600002073A4A0529,3,1970/1/5 18:02:17,927250,-62,25,25573.75159,,919750
E2801160600002073A4A0519,3,1970/1/5 18:02:17,927250,-53,25,25573.75159,,919750
E2801160600002073A4A0529,1,1970/1/5 18:02:18,922250,-38,171,25573.7516,,919750
E2801160600002073A4A0519,1,1970/1/5 18:02:18,922250,-43,168,25573.7516,,919750
E2801160600002073A4A0529,2,1970/1/5 18:02:18,922250,-58,154,25573.7516,,919750
E2801160600002073A4A0519,2,1970/1/5 18:02:18,922250,-53,157,25573.7516,,919750
E2801160600002073A4A0519,3,1970/1/5 18:02:18,922250,-55,143,25573.7516,,919750
E2801160600002073A4A0529,3,1970/1/5 18:02:18,922250,-64,132,25573.7516,,919750
E2801160600002073A4A0529,1,1970/1/5 18:02:18,922250,-38,174,25573.7516,,919750
E2801160600002073A4A0519,1,1970/1/5 18:02:18,922250,-43,171,25573.7516,,914750
E2801160600002073A4A0529,2,1970/1/5 18:02:18,922250,-58,140,25573.7516,,914750
E2801160600002073A4A0519,2,1970/1/5 18:02:18,922250,-53,154,25573.7516,,914750
E2801160600002073A4A0519,3,1970/1/5 18:02:18,922250,-55,137,25573.7516,,914750
E2801160600002073A4A0529,3,1970/1/5 18:02:18,922250,-65,157,25573.7516,,915750
E2801160600002073A4A0519,1,1970/1/5 18:02:18,922250,-43,160,25573.7516,,915750
E2801160600002073A4A0529,1,1970/1/5 18:02:18,922250,-38,177,25573.7516,,915750
E2801160600002073A4A0519,2,1970/1/5 18:02:18,922250,-53,154,25573.7516,,915750
E2801160600002073A4A0529,2,1970/1/5 18:02:18,922250,-59,151,25573.7516,,915750
E2801160600002073A4A0519,3,1970/1/5 18:02:18,922250,-56,140,25573.7516,,915750
E2801160600002073A4A0529,3,1970/1/5 18:02:18,922250,-65,135,25573.7516,,915750
E2801160600002073A4A0519,1,1970/1/5 18:02:18,907250,-39,126,25573.7516,,915750
E2801160600002073A4A0529,1,1970/1/5 18:02:18,907250,-36,132,25573.7516,,915750
E2801160600002073A4A0529,2,1970/1/5 18:02:18,907250,-63,11,25573.7516,,915750
E2801160600002073A4A0519,2,1970/1/5 18:02:18,907250,-56,8,25573.7516,,910250
E2801160600002073A4A0529,3,1970/1/5 18:02:18,907250,-71,104,25573.7516,,910250
E2801160600002073A4A0519,3,1970/1/5 18:02:18,907250,-57,163,25573.7516,,910250
E2801160600002073A4A0519,1,1970/1/5 18:02:18,907250,-39,132,25573.7516,,910250
E2801160600002073A4A0529,1,1970/1/5 18:02:18,907250,-36,132,25573.7516,,910250
E2801160600002073A4A0529,2,1970/1/5 18:02:18,907250,-63,177,25573.7516,,914250
E2801160600002073A4A0519,2,1970/1/5 18:02:18,907250,-56,2,25573.7516,,914250
E2801160600002073A4A0519,3,1970/1/5 18:02:18,907250,-59,2,25573.7516,,914250
E2801160600002073A4A0529,1,1970/1/5 18:02:18,920750,-38,22,25573.7516,,914250
E2801160600002073A4A0519,1,1970/1/5 18:02:18,920750,-43,22,25573.7516,,914250
E2801160600002073A4A0529,2,1970/1/5 18:02:18,920750,-60,168,25573.7516,,917750
E2801160600002073A4A0519,2,1970/1/5 18:02:18,920750,-54,5,25573.7516,,917750
E2801160600002073A4A0519,3,1970/1/5 18:02:18,920750,-57,11,25573.7516,,917750
E2801160600002073A4A0529,3,1970/1/5 18:02:18,920750,-66,2,25573.7516,,917750
E2801160600002073A4A0529,1,1970/1/5 18:02:18,920750,-38,22,25573.7516,,917750
E2801160600002073A4A0519,1,1970/1/5 18:02:18,920750,-42,14,25573.7516,,912250
E2801160600002073A4A0519,2,1970/1/5 18:02:18,920750,-54,177,25573.7516,,912250
E2801160600002073A4A0529,2,1970/1/5 18:02:18,920750,-60,168,25573.7516,,912250
E2801160600002073A4A0529,3,1970/1/5 18:02:18,920750,-64,2,25573.7516,,912250
E2801160600002073A4A0519,3,1970/1/5 18:02:18,920750,-54,0,25573.7516,,912250
E200497E93D284B134FFAA12,3,1970/1/5 18:02:18,920750,-79,11,25573.7516,,912250
E2801160600002073A4A0539,3,1970/1/5 18:02:18,920750,-79,39,25573.7516,5972.222207,912250
E2801160600002073A4A0519,1,1970/1/5 18:02:19,909250,-40,90,25573.75161,,912250
E2801160600002073A4A0529,1,1970/1/5 18:02:19,909250,-36,95,25573.75161,,912250
E2801160600002073A4A0529,2,1970/1/5 18:02:19,909250,-62,132,25573.75161,,912250
E2801160600002073A4A0519,2,1970/1/5 18:02:19,909250,-55,146,25573.75161,,913250
E2801160600002073A4A0529,3,1970/1/5 18:02:19,909250,-69,73,25573.75161,,913250
E2801160600002073A4A0519,3,1970/1/5 18:02:19,909250,-57,87,25573.75161,,913250
E2801160600002073A4A0529,1,1970/1/5 18:02:19,909250,-36,95,25573.75161,,913250
E2801160600002073A4A0519,1,1970/1/5 18:02:19,909250,-40,81,25573.75161,,913250
E2801160600002073A4A0529,2,1970/1/5 18:02:19,909250,-62,140,25573.75161,,912750
E2801160600002073A4A0519,2,1970/1/5 18:02:19,909250,-55,140,25573.75161,,912750
E2801160600002073A4A0519,3,1970/1/5 18:02:19,909250,-57,101,25573.75161,,912750
E2801160600002073A4A0529,3,1970/1/5 18:02:19,909250,-70,39,25573.75161,,912750
E2801160600002073A4A0529,1,1970/1/5 18:02:19,909250,-36,92,25573.75161,,912750
E2801160600002073A4A0519,1,1970/1/5 18:02:19,909250,-39,92,25573.75161,,912750
E2801160600002073A4A0519,2,1970/1/5 18:02:19,925750,-55,56,25573.75161,,912750
E2801160600002073A4A0529,2,1970/1/5 18:02:19,925750,-61,42,25573.75161,,912750
E2801160600002073A4A0519,3,1970/1/5 18:02:19,925750,-53,67,25573.75161,,912750
E2801160600002073A4A0529,3,1970/1/5 18:02:19,925750,-62,53,25573.75161,,912750
E200497E93D2893134FFAA24,3,1970/1/5 18:02:19,925750,-80,177,25573.75161,,912750
E2801160600002073A4A0519,1,1970/1/5 18:02:19,925750,-42,112,25573.75161,,912750
E2801160600002073A4A0529,1,1970/1/5 18:02:19,925750,-37,120,25573.75161,,912750
E2801160600002073A4A0519,2,1970/1/5 18:02:19,925750,-55,56,25573.75161,,912750
E2801160600002073A4A0529,2,1970/1/5 18:02:19,925750,-60,42,25573.75161,,912750
E2801160600002073A4A0529,3,1970/1/5 18:02:19,925750,-62,61,25573.75161,,915250
E2801160600002073A4A0519,3,1970/1/5 18:02:19,925750,-53,67,25573.75161,,915250
E200497E93D2893134FFAA24,3,1970/1/5 18:02:19,925750,-79,5,25573.75161,,915250
E2801160600002073A4A0529,1,1970/1/5 18:02:19,925750,-37,112,25573.75161,,915250
E2801160600002073A4A0519,1,1970/1/5 18:02:19,925750,-42,112,25573.75161,,915250
E2801160600002073A4A0529,1,1970/1/5 18:02:19,920250,-38,36,25573.75161,,915250
E2801160600002073A4A0519,1,1970/1/5 18:02:19,920250,-43,33,25573.75161,,915250
E2801160600002073A4A0529,2,1970/1/5 18:02:19,920250,-60,2,25573.75161,,915250
E2801160600002073A4A0519,2,1970/1/5 18:02:19,920250,-54,19,25573.75161,,915250
E2801160600002073A4A0519,3,1970/1/5 18:02:19,920250,-55,14,25573.75161,,915250
E2801160600002073A4A0529,3,1970/1/5 18:02:19,920250,-64,177,25573.75161,,916750
E2801160600002073A4A0529,1,1970/1/5 18:02:19,920250,-38,39,25573.75161,,916750
E2801160600002073A4A0519,1,1970/1/5 18:02:19,920250,-43,30,25573.75161,,916750
E2801160600002073A4A0519,2,1970/1/5 18:02:19,920250,-54,25,25573.75161,,916750
E2801160600002073A4A0529,2,1970/1/5 18:02:19,920250,-61,19,25573.75161,,916750
E2801160600002073A4A0529,3,1970/1/5 18:02:19,920250,-64,30,25573.75161,,913750
E2801160600002073A4A0519,3,1970/1/5 18:02:19,920250,-55,11,25573.75161,,913750
E2801160600002073A4A0529,1,1970/1/5 18:02:19,920250,-38,39,25573.75161,,913750
E2801160600002073A4A0519,1,1970/1/5 18:02:19,920250,-43,30,25573.75161,,913750
E2801160600002073A4A0529,2,1970/1/5 18:02:20,920250,-62,14,25573.75162,,913750
E2801160600002073A4A0519,2,1970/1/5 18:02:20,920250,-55,22,25573.75162,,913750
E2801160600002073A4A0519,3,1970/1/5 18:02:20,914750,-54,151,25573.75162,,913750
E2801160600002073A4A0529,3,1970/1/5 18:02:20,914750,-64,143,25573.75162,,913750
E2801160600002073A4A0539,3,1970/1/5 18:02:20,914750,-77,129,25573.75162,6203.703706,913750
E200497E93D284B134FFAA12,3,1970/1/5 18:02:20,914750,-79,123,25573.75162,,913750
E2801160600002073A4A0519,1,1970/1/5 18:02:20,914750,-41,135,25573.75162,,913750
E2801160600002073A4A0529,1,1970/1/5 18:02:20,914750,-37,140,25573.75162,,913750
E2801160600002073A4A0529,2,1970/1/5 18:02:20,914750,-62,151,25573.75162,,913750
E2801160600002073A4A0519,2,1970/1/5 18:02:20,914750,-54,174,25573.75162,,913750
E2801160600002073A4A0519,3,1970/1/5 18:02:20,914750,-54,146,25573.75162,,913750
E2801160600002073A4A0539,3,1970/1/5 18:02:20,914750,-77,137,25573.75162,6203.703706,916250
E2801160600002073A4A0529,3,1970/1/5 18:02:20,914750,-64,137,25573.75162,,916250
E2801160600002073A4A0519,1,1970/1/5 18:02:20,914750,-41,149,25573.75162,,916250
E2801160600002073A4A0529,1,1970/1/5 18:02:20,914750,-37,146,25573.75162,,916250
E2801160600002073A4A0529,2,1970/1/5 18:02:20,914750,-61,149,25573.75162,,916250
E2801160600002073A4A0519,2,1970/1/5 18:02:20,914750,-54,163,25573.75162,,916250
E2801160600002073A4A0529,3,1970/1/5 18:02:20,908750,-65,81,25573.75162,,916250
E2801160600002073A4A0519,3,1970/1/5 18:02:20,908750,-55,106,25573.75162,,916250
E2801160600002073A4A0529,1,1970/1/5 18:02:20,908750,-36,101,25573.75162,,916250
E2801160600002073A4A0519,1,1970/1/5 18:02:20,908750,-39,87,25573.75162,,916250
E2801160600002073A4A0529,2,1970/1/5 18:02:20,908750,-62,140,25573.75162,,916250
E2801160600002073A4A0519,2,1970/1/5 18:02:20,908750,-55,160,25573.75162,,916250
